number,backend,mdoel,GPU,num_gpus,train_parallel,infer_parallel,throughput,per_token_ms/gen,per_token_ms/update_actor,response_length,step,rollout/gen,generation,update_actor,MFU,Other,max_prompt_len,max_response_len,bs,mini_bs,micro_bs_actor/dynamic_max_token,micro_bs_logp/dynamic_max_token,contributor,,
2,fsdp+vllm,Qwen2.5-14B,H20,32,sp8fsdp32,tp4,297.809,0.074,0.031,773.79,799.774,473.063,421.361,239.511,0.63,,2K,20K,512,32,\,\,bytedance,,
3,fsdp+vllm,Qwen2.5-14B,H20,32,sp4fsdp32,tp4,287.819,0.078,0.032,762.937,817.488,491.175,411.133,244.738,0.611,,2K,20K,512,32,\,\,bytedance,,
4,fsdp+vllm,Qwen3-14B-Base,H20,32,sp8fsdp32,tp4,186.052,0.127,0.035,3344.284,4810.949,3506.333,3030.893,1019.47,0.63,,2K,20K,512,32,\,\,bytedance,,
5,fsdp+vllm,Qwen3-14B-Base,H20,32,sp4fsdp32,tp4,186.723,0.124,0.038,3210.381,4608.703,3265.542,3030.893,1068.28,0.578,,2K,20K,512,32,\,\,bytedance,,
6,fsdp+vllm,Qwen3-14B-Base,H20,32,sp4fsdp32,tp2,186.36,0.123,0.039,3656.42,5230.469,3684.548,2790.176,1226.361,0.574,,2K,20K,512,32,\,\,bytedance,,
7,megatron+vllm,Qwen2.5-14B,H20,32,tp8pp2,tp4,279.23,0.072,0.034,791.082,872.585,469..869,161.459,265.34,0.65,,2K,20K,512,32,\,\,bytedance,,
8,megatron+vllm,Qwen3-14B-Base,H20,32,tp4pp1cp1,tp4,213.561,0.082,0.031,3510.21,4398.413,2385.81,1047.151,933.793,0.768,apply_rope_fusion,2K,20K,512,32,\,\,bytedance,,
9,megatron+vllm,Qwen3-14B-Base,H20,32,tp4pp1cp2,tp4,255.982,0.087,0.028,3131.232,3289.907,2240.537,992.523,770.015,0.83,apply_rope_fusion,2K,20K,512,32,\,\,bytedance,,
10,megatron+vllm,Qwen3-14B-Base,H20,32,tp8pp2,tp4,236.793,0.093,0.03,3040.52,3459.649,2337.67,1026.975,799.448,0.781,apply_rope_fusion,2K,20K,512,32,\,\,bytedance,,
11,megatron+vllm,Qwen3-14B-Base,H20,32,tp8pp1cp2,tp4,252.462,0.086,0.029,3644.968,3857.987,2582.149,1175.554,905.894,0.82,apply_rope_fusion,2K,20K,512,32,\,\,bytedance,,
