number,backend,GPU,num_gpus,train_parallel,infer_parallel,Offload,Recompute,Dynamic batch,gpu_memory_util,step,rollout,generation,update_actor,old_logp,reshard,Throughput,MFU,Other,max_prompt_len,max_response_len,bs,mini_bs,dynamic_max_token(micro_bs_actor),dynamic_max_token(micro_bs_logp),contributor
2,megatron+vllm,H100,8,Tp4pp1cp1,tp1,FALSE,FALSE,TRUE,0.6,280,92.0,68.2,102.0,41.7,2.3,2583.4,0.393,apply_rope_fusion; fused_kernel,2k,8k,512,32,10k,100k,NV
3,megatron+vllm,H100,8,Tp4pp1cp2,tp1,FALSE,FALSE,FALSE,0.6,1516,120.8,80.5,880.6,/,2.6,,0.0396,apply_rope_fusion; fused_kernel,2k,8k,512,32,10k,100k,NV
4,megatron+vllm,H100,8,tp2pp1cp2,tp1,FALSE,FALSE,FALSE,0.8,OOM,,,,,,,,,2k,8k,512,32,10k,100k,NV
5,megatron+vllm,H100,8,tp2pp1cp2,tp1,FALSE,FALSE,FALSE,0.5,OOM,,,,,,,,,2k,8k,512,32,10k,100k,NV
6,megatron+vllm,H100,8,tp2pp1cp2,tp1,TRUE,FALSE,FALSE,0.5,756.1,119,66.9,406.9,130.4,8.7,965.9,0.09,apply_rope_fusion; fused_kernel,2k,8k,512,32,10k,100k,NV
7,megatron+vllm,H100,8,tp4pp1cp1,tp1,FALSE,FALSE,FALSE,0.6,581.3,115.7,68.1,300.2,,2.2,1257.6,0.12,apply_rope_fusion; fused_kernel,2k,8k,512,32,10k,100k,NV
8,megatron+vllm,H100,8,tp4pp1cp1,tp1,TRUE,FALSE,FALSE,0.6,552,84.8,62.7,300.7,,2.8,1325.4,0.121,Cuda graph;apply_rope_fusion; fused_kernel,2k,8k,512,32,10k,100k,NV
9,megatron+vllm,H100,8,tp2pp1cp1,tp1,TRUE,FALSE,FALSE,,457.8,118.8,69.4,219,,8.6,1589.4,0.1736,apply_rope_fusion; fused_kernel,2k,8k,512,32,10k,100k,NV
10,megatron+vllm,H100,8,tp2pp1cp1,tp1,FALSE,FALSE,FALSE,0.6,OOM,,,,,,,,,2k,8k,512,32,10k,100k,NV
11,megatron+vllm,H100,8,tp2pp1cp1,tp1,FALSE,Full,FALSE,0.6,OOM,,,,,,,,,2k,8k,512,32,10k,100k,NV
12,megatron+vllm,H100,8,tp2pp1cp1,Tp1,TRUE,full,FALSE,0.6,464.4,91.6,63.6,252.8,,8.5,1560,0.148,apply_rope_fusion; fused_kernel,2k,8k,512,32,10k,100k,NV
13,megatron+vllm,H100,8,tp4pp1cp1,tp1,TRUE,FALSE,TRUE,0.6,406.3,185.5,79.1,124.6,,2.2,1775.8,0.385,apply_rope_fusion; fused_kernel,2k,8k,512,32,10k,100k,NV
14,megatron+vllm,H100,8,tp2pp1cp1,tp1,TRUE,full,TRUE,0.6,318.3,113.7,63.8,122.2,,8.5,2251.2,0.338,inference_max_tokens=3*train_max_tokens; apply_rope_fusion; fused_kernel,2k,8k,512,32,10k,30k,NV
