model_size,GPU,seq_len*GBS,tp*cp,pp*ep,recompute_mode,tflops_per_gpu,peak_mem_gb,notes
35B,32x H100 80G,131072*64,2*2,2*16,full,,,
35B,32x H100 80G,131072*64,2*4,2*16,full,81.05,38.24,
35B,32x H100 80G,131072*64,2*1,4*8,full,,,
35B,32x H100 80G,131072*64,2*2,4*8,full,127.53,42.91,
35B,32x H100 80G,131072*64,2*4,2*16,selective_moe,,,
35B,32x H100 80G,131072*64,2*8,2*16,selective_moe,76.89,57.59,
35B,32x H100 80G,131072*64,2*2,4*8,selective_moe,,,
35B,32x H100 80G,131072*64,2*4,4*8,selective_moe,,,
35B,32x H100 80G,131072*64,2*4,1*4,full,168.95,42.54,megatron-fsdp
35B,32x H100 80G,131072*64,2*4,1*8,full,172.65,42.54,megatron-fsdp
35B,32x H100 80G,131072*64,2*4,1*16,full,136.95,42.54,megatron-fsdp
35B,32x H100 80G,131072*64,2*8,1*4,full,115.40,34.50,megatron-fsdp
35B,32x H100 80G,131072*64,2*8,1*8,full,126.20,34.07,megatron-fsdp
35B,32x H100 80G,131072*64,2*8,1*16,full,110.50,33.97,megatron-fsdp
122B,128x H100 80G,131072*64,2*2,8*8,full,117,72,optimizer_cpu_offload_fraction=1
122B,128x H100 80G,131072*64,2*4,4*8,full,142.1,65,optimizer_cpu_offload_fraction=1
